"ITEM","Sex","ActivatorExp","ReporterExp","LexA","Gal4","ReporterSite","ActivatorSite","Days","Runs","Region","Stack","Drug","DrugTime","DrugConc","DrugRuns","TAGS","TIMESTAMP"
"*** 18A05 L CsChrimson  - 18A05 GCamp6m","Male","LexA","Gal4","18A05","18A05","attP1","VK5","7","1:6",NA,1,NA,NA,NA,NA,":Problematic:","2016-05-11 Wed"
"*** 18A05 L CsChrimson  - 18A05 GCamp6m","Female","LexA","Gal4","18A05","18A05","attP1","VK5","7","13:18",NA,2,NA,NA,NA,NA,":Problematic:","2016-05-11 Wed"
"*** 18A05 L CsChrimson  - 18A05 GCamp6m","Female","LexA","Gal4","18A05","18A05","attP1","VK5","7","19:24",NA,3,NA,NA,NA,NA,":Problematic:","2016-05-11 Wed"
"*** 18A05L  CsChrimson  - 18A05 GCamp6m","Male","LexA","Gal4","18A05","18A05","attP1","VK5","7","28:33",NA,4,NA,NA,NA,NA,":Problematic:","2016-05-11 Wed"
"*** 60D05L  CsChrimson  - 60D05 GCamp6m","Female","Gal4","LexA","60D05","60D05","attP1","VK5","7","39:44",NA,5,NA,NA,NA,NA,":Problematic:","2016-05-11 Wed"
"*** 76E11  CsChrimson  - 67D09 GCamp6m","Female","Gal4","LexA","67D09","76E11","attP1","VK5","7","45:46",NA,6,NA,NA,NA,NA,":Problematic:","2016-05-11 Wed"
"*** 76E11  CsChrimson  - 67D09 GCamp6m","Female","Gal4","LexA","67D09","76E11","attP1","VK5","7","47:48",NA,7,NA,NA,NA,NA,":Problematic:","2016-05-11 Wed"
"*** 76E11  CsChrimson  - 67D09 GCamp6m","Female","Gal4","LexA","67D09","76E11","attP1","VK5","7","49:50",NA,8,NA,NA,NA,NA,":Problematic:","2016-05-11 Wed"
"*** 76E11  CsChrimson  - 67D09 GCamp6m","Male","Gal4","LexA","67D09","76E11","attP1","VK5","7","54:59","Dict(\"FB\"=>54:59)",9,NA,NA,NA,NA,NA,"2016-05-11 Wed"
"*** 76E11  CsChrimson  - 67D09 GCamp6m","Female","Gal4","LexA","67D09","76E11","attP1","VK5","7","60:61",NA,10,NA,NA,NA,NA,":Problematic:","2016-05-11 Wed"
"*** 76E11  CsChrimson  - 67D09 GCamp6m","Male","Gal4","LexA","67D09","76E11","attP1","VK5","7","62:64",NA,11,NA,NA,NA,NA,":Problematic:","2016-05-11 Wed"
"*** 76E11  CsChrimson  - 67D09 GCamp6m","Male","Gal4","LexA","67D09","76E11","attP1","VK5","7","65:67",NA,12,NA,NA,NA,NA,":Problematic:","2016-05-11 Wed"
"*** 76E11  CsChrimson  - 67D09 GCamp6m","Female","Gal4","LexA","67D09","76E11","attP1","VK5","7","68:69",NA,13,NA,NA,NA,NA,":Problematic:","2016-05-11 Wed"
"*** 76E11  CsChrimson  - 76E11 GCamp6m","Female","LexA","Gal4","76E11","76E11","attP1","VK5","6","1:6",NA,1,NA,NA,NA,NA,":Problematic:","2016-05-12 Thu"
"*** 76E11  CsChrimson  - 76E11 GCamp6m","Female","LexA","Gal4","76E11","76E11","attP1","VK5","6","16:31",NA,2,NA,NA,NA,NA,":Problematic:","2016-05-12 Thu"
"*** 76E11  CsChrimson  - 76E11 GCamp6m","Male","LexA","Gal4","76E11","76E11","attP1","VK5","6","32:45",NA,4,NA,NA,NA,NA,":Problematic:","2016-05-12 Thu"
"*** 60D05  CsChrimson  - 67D09 GCamp6m","Male","Gal4","LexA","67D09","60D05","attP1","VK5","6","[47;49:52]","Dict(\"FB\"=>[47;49:52])",5,NA,NA,NA,NA,NA,"2016-05-12 Thu"
"*** 60D05  CsChrimson  - 67D09 GCamp6m","Male","Gal4","LexA","67D09","60D05","attP1","VK5","6","54:59","Dict(\"FB\"=>54:59)",6,NA,NA,NA,NA,NA,"2016-05-12 Thu"
"*** 60D05  CsChrimson  - 67D09 GCamp6m","Female","Gal4","LexA","67D09","60D05","attP1","VK5","6","61:66","Dict(\"FB\"=>61:66)",7,NA,NA,NA,NA,NA,"2016-05-12 Thu"
"*** 60D05  CsChrimson  - 67D09 GCamp6m","Male","Gal4","LexA","67D09","60D05","attP1","VK5","6","68:73","Dict(\"FB\"=>68:73)",8,NA,NA,NA,NA,NA,"2016-05-12 Thu"
"*** 60D05  CsChrimson  - 67D09 GCamp6m","Male","Gal4","LexA","67D09","60D05","attP1","VK5","6","74:79",NA,9,NA,NA,NA,NA,":Problematic:","2016-05-12 Thu"
"*** 60D05  CsChrimson  - 67D09 GCamp6m","Male","Gal4","LexA","67D09","60D05","attP1","VK5","7","2:7","Dict(\"FB\"=>2:7)",1,NA,NA,NA,NA,NA,"2016-05-13 Fri"
"*** 76E11  CsChrimson  - 76E11 GCamp6m","Male","LexA","Gal4","76E11","76E11","attP1","VK5","4","8:13",NA,2,NA,NA,NA,NA,":Problematic:","2016-05-13 Fri"
