"ITEM","Sex","ActivatorExp","ReporterExp","LexA","Gal4","ReporterSite","ActivatorSite","Days","Runs","Region","Stack","Drug","DrugTime","DrugConc","DrugRuns","TAGS","TIMESTAMP"
"*** 47G08L  CsChrimson  - 47G08 GCamp6m","Female","LexA","Gal4","47G08","47G08","attP1","VK5","6","62:67",NA,7,NA,NA,NA,NA,":Problematic:","2016-05-15 Sun"
"*** 12G04  CsChrimson  - 49H05 GCamp6m","Female","LexA","Gal4","12G04","49H05","attP1","VK5","6","1:9",NA,1,NA,NA,NA,NA,":Problematic:","2016-05-16 Mon"
"*** 12G04  CsChrimson  - 49H05 GCamp6m","Male","LexA","Gal4","12G04","49H05","attP1","VK5","6","12:17","Dict(\"LAL-out\"=>12:17)",2,NA,NA,NA,NA,NA,"2016-05-16 Mon"
"*** 12G04  CsChrimson  - 49H05 GCamp6m","Male","LexA","Gal4","12G04","49H05","attP1","VK5","6","18:24","Dict(\"LAL-out\"=>18:24)",3,NA,NA,NA,NA,NA,"2016-05-16 Mon"
"*** 76E11  CsChrimson  - 75H04 GCamp6m","Male","LexA","Gal4","76E11","75H04","attP1","VK5","6","25:30","Dict(\"EB-in\"=>25:30)",4,NA,NA,NA,NA,NA,"2016-05-16 Mon"
"*** 76E11  CsChrimson  - 75H04 GCamp6m","Female","LexA","Gal4","76E11","75H04","attP1","VK5","6","32:37","Dict(\"EB-in\"=>32:37)",5,NA,NA,NA,NA,NA,"2016-05-16 Mon"
"*** 76E11  CsChrimson  - 75H04 GCamp6m","Female","LexA","Gal4","76E11","75H04","attP1","VK5","6","38:44",NA,6,NA,NA,NA,NA,":Problematic:","2016-05-16 Mon"
"*** 76E11  CsChrimson  - 75H04 GCamp6m","Male","LexA","Gal4","76E11","75H04","attP1","VK5","6","46:51","Dict(\"EB-in\"=>46:51)",7,NA,NA,NA,NA,NA,"2016-05-16 Mon"
"*** 76E11  CsChrimson  - 75H04 GCamp6m","Male","LexA","Gal4","76E11","75H04","attP1","VK5","6","52:57","Dict(\"EB-in\"=>52:57)",8,NA,NA,NA,NA,NA,"2016-05-16 Mon"
"*** 12G04  CsChrimson  - 49H05 GCamp6m","Female","LexA","Gal4","12G04","49H05","attP1","VK5","6","2:7","Dict(\"LAL-out\"=>2:7)",1,NA,NA,NA,NA,NA,"2016-05-17 Tue"
"*** 76E11L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","76E11","37F06","attP1","VK5","7:9","1:6","Dict(\"EB\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-05-23 Mon"
"*** 76E11L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","76E11","37F06","attP1","VK5","7:9","7:12","Dict(\"EB\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-05-23 Mon"
"*** 76E11L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","76E11","37F06","attP1","VK5","7","1:16","Dict(\"EB\"=>1:16)",1,"Picrotoxin","15:02:00 - 15:05:00","10uM",NA,NA,"2016-05-24 Tue"
"*** 60D05L  CsChrimson  - 18A05 GCamp6m","Male","LexA","Gal4","60D05","18A05","attP1","VK5","6","[3:5;7:9]","Dict(\"LAL\"=>[3:5;7:9])",1,NA,NA,NA,NA,NA,"2016-06-13 Mon"
"*** 60D05L  CsChrimson  - 18A05 GCamp6m","Male","LexA","Gal4","60D05","18A05","attP1","VK5","6","[11:14;16:17]","Dict(\"Gall\"=>[11:14;16:17])",2,NA,NA,NA,NA,NA,"2016-06-13 Mon"
"*** 60D05L  CsChrimson  - 18A05 GCamp6m","Female","LexA","Gal4","60D05","18A05","attP1","VK5","6","19:24","Dict(\"Gall\"=>19:24)",3,NA,NA,NA,NA,NA,"2016-06-13 Mon"
"*** 60D05L  CsChrimson  - 18A05 GCamp6m","Female","LexA","Gal4","60D05","18A05","attP1","VK5","6","32:53","Dict(\"Gall\"=>32:53)",4,"Mecamylamine","17:32:00 - 17:35:00","50uM",NA,NA,"2016-06-13 Mon"
"*** 60D05L  CsChrimson  - 18A05 GCamp6m","Male","LexA","Gal4","60D05","18A05","attP1","VK5","6","65:70","Dict(\"Gall\"=>65:70)",5,NA,NA,NA,NA,NA,"2016-06-13 Mon"
"*** 75H04  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","75H04","attP5","VK5","7",NA,NA,1,NA,NA,NA,NA,":Problematic:","2016-06-14 Tue"
"*** 75H04  CsChrimson  - 37F06L GCamp6m","Male","Gal4","LexA","37F06","75H04","attP5","VK5","7","8:13",NA,2,NA,NA,NA,NA,":Problematic:","2016-06-14 Tue"
"*** 60D05L  CsChrimson  - 60D05 GCamp6m","Female","LexA","Gal4","60D05","60D05","attP1","VK5","7","14:19","Dict(\"Gall\"=>14:19)",3,NA,NA,NA,NA,NA,"2016-06-14 Tue"
"*** 60D05L  CsChrimson  - 60D05 GCamp6m","Female","LexA","Gal4","60D05","60D05","attP1","VK5","7","23:28","Dict(\"Gall\"=>23:28)",4,NA,NA,NA,NA,NA,"2016-06-14 Tue"
"*** 60D05L  CsChrimson  - 60D05 GCamp6m","Male","LexA","Gal4","60D05","60D05","attP1","VK5","7","32:37","Dict(\"PB\"=>32:37)",5,NA,NA,NA,NA,NA,"2016-06-14 Tue"
"*** 76E11  CsChrimson  - 76E11L GCamp6m","Male","Gal4","LexA","76E11","76E11","attP1","VK5","7","45:50","Dict(\"LAL\"=>45:50)",6,NA,NA,NA,NA,NA,"2016-06-14 Tue"
"*** 60D05L  CsChrimson  - 18A05 GCamp6m","Male","LexA","Gal4","60D05","18A05","attP1","VK5","7","58:80","Dict(\"Gall\"=>58:80)",7,"Mecamylamine","18:30:00 - 18:33:00","50uM",NA,NA,"2016-06-14 Tue"
"*** 84H05  CsChrimson  - 84H05L GCamp6m","Male","Gal4","LexA","84H05","84H05","attP1","VK5","7","86:91","Dict(\"LAL\"=>86:91)",8,NA,NA,NA,NA,NA,"2016-06-14 Tue"
"*** 60D05L  CsChrimson  - 60D05 GCamp6m","Male","LexA","Gal4","60D05","60D05","attP1","VK5","7","8:13","Dict(\"Gall\"=>8:13)",1,NA,NA,NA,NA,NA,"2016-06-15 Wed"
"*** 60D05L  CsChrimson  - 60D05 GCamp6m","Female","LexA","Gal4","60D05","60D05","attP1","VK5","7","19:24","Dict(\"PB\"=>19:24)",2,NA,NA,NA,NA,NA,"2016-06-15 Wed"
"*** 60D05L  CsChrimson  - 60D05 GCamp6m","Male","LexA","Gal4","60D05","60D05","attP1","VK5","7","36:41","Dict(\"PB\"=>36:41)",3,NA,NA,NA,NA,NA,"2016-06-15 Wed"
"*** 75H04  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","75H04","attP5","VK5","7","44:49",NA,4,NA,NA,NA,NA,":Problematic:","2016-06-15 Wed"
"*** 84H05  CsChrimson  - 84H05L GCamp6m","Female","LexA","Gal4","84H05","84H05","attP5","VK5","7","52:57","Dict(\"LAL\"=>52:57)",5,NA,NA,NA,NA,NA,"2016-06-15 Wed"
"*** 84H05  CsChrimson  - 84H05L GCamp6m","Male","LexA","Gal4","84H05","84H05","attP5","VK5","7","65:70","Dict(\"LAL\"=>65:70)",6,NA,NA,NA,NA,NA,"2016-06-15 Wed"
"*** 84H05  CsChrimson  - 84H05L GCamp6m","Female","LexA","Gal4","84H05","84H05","attP5","VK5","7","72:77","Dict(\"LAL\"=>72:77)",7,NA,NA,NA,NA,NA,"2016-06-15 Wed"
"*** 84H05  CsChrimson  - 84H05L GCamp6m","Male","LexA","Gal4","84H05","84H05","attP5","VK5","7","79:84","Dict(\"LAL\"=>79:84)",8,NA,NA,NA,NA,NA,"2016-06-15 Wed"
"*** 84H05  CsChrimson  - 84H05L GCamp6m","Male","LexA","Gal4","84H05","84H05","attP1","VK5","7","[4:8;10]","Dict(\"LAL\"=>[4:8;10])",1,NA,NA,NA,NA,NA,"2016-06-16 Thu"
"*** 75H04  CsChrimson  - 37F06L GCamp6m","Male","Gal4","LexA","37F06","75H04","attP5","VK5","7",NA,NA,2,NA,NA,NA,NA,":Problematic:","2016-06-16 Thu"
"*** 76E11L  CsChrimson  - 76E11 GCamp6m","Male","LexA","Gal4","76E11","76E11","attP1","VK5","7","20:25","Dict(\"LAL\"=>20:25)",3,NA,NA,NA,NA,NA,"2016-06-16 Thu"
"*** 37F06L  CsChrimson  - 37F06 GCamp6m","Male","LexA","Gal4","37F06","37F06","attP1","VK5","7","27:32","Dict(\"EB\"=>27:32)",4,NA,NA,NA,NA,NA,"2016-06-16 Thu"
"*** 37F06L  CsChrimson  - 37F06 GCamp6m","Female","LexA","Gal4","37F06","37F06","attP1","VK5","7","40:45",NA,5,NA,NA,NA,NA,":Problematic:","2016-06-16 Thu"
"*** 37F06L  CsChrimson  - 37F06 GCamp6m","Female","LexA","Gal4","37F06","37F06","attP1","VK5","7","51:56","Dict(\"EB\"=>51:56)",6,NA,NA,NA,NA,NA,"2016-06-16 Thu"
"*** 37F06L  CsChrimson  - 37F06 GCamp6m","Female","LexA","Gal4","37F06","37F06","attP1","VK5","7","63:68","Dict(\"EB\"=>63:68)",7,NA,NA,NA,NA,NA,"2016-06-16 Thu"
"*** 60D05L  CsChrimson  - 76E11 GCamp6m","Male","LexA","Gal4","60D05","76E11","attP1","VK5","7","6:11","Dict(\"NO\"=>6:11)",1,NA,NA,NA,NA,NA,"2016-06-17 Fri"
"*** 60D05L  CsChrimson  - 76E11 GCamp6m","Female","LexA","Gal4","60D05","76E11","attP1","VK5","7","[17:39]","Dict(\"NO\"=>17:22,\"NO-drug\"=>23:39)",2,"Mecamylamine","11:09:00 - 11:12:00","50uM",NA,NA,"2016-06-17 Fri"
"*** 60D05L  CsChrimson  - 76E11 GCamp6m","Male","LexA","Gal4","60D05","76E11","attP1","VK5","7","54:59","Dict(\"LAL\"=>54:59)",3,NA,NA,NA,NA,NA,"2016-06-17 Fri"
"*** 60D05L  CsChrimson  - 76E11 GCamp6m","Female","LexA","Gal4","60D05","76E11","attP1","VK5","7","75:80","Dict(\"LAL\"=>75:80)",4,NA,NA,NA,NA,NA,"2016-06-17 Fri"
"*** 37F06L  CsChrimson  - 37F06 GCamp6m","Female","LexA","Gal4","37F06","37F06","attP1","VK5","7","92:97",NA,5,NA,NA,NA,NA,":Problematic:","2016-06-17 Fri"
"*** 37F06L  CsChrimson  - 37F06 GCamp6m","Female","LexA","Gal4","37F06","37F06","attP1","VK5","7","102:107",NA,6,NA,NA,NA,NA,":Problematic:","2016-06-17 Fri"
"*** 76E11L  CsChrimson  - 76E11 GCamp6m","Female","LexA","Gal4","76E11","76E11","attP1","VK5","5","[4:9;11:16]","Dict(\"NO\"=>4:9,\"LAL\"=>11:16)",1,NA,NA,NA,NA,NA,"2016-06-18 Sat"
"*** 76E11L  CsChrimson  - 76E11 GCamp6m","Male","LexA","Gal4","76E11","76E11","attP1","VK5","5","30:35","Dict(\"LAL\"=>30:35)",2,NA,NA,NA,NA,NA,"2016-06-18 Sat"
"*** 76E11L  CsChrimson  - 76E11 GCamp6m","Male","LexA","Gal4","76E11","76E11","attP1","VK5","5","52:57","Dict(\"LAL\"=>52:57)",3,NA,NA,NA,NA,NA,"2016-06-18 Sat"
"*** 72H06  CsChrimson  - 76E11L GCamp6m","Male","Gal4","LexA","76E11","72H06","attP1","VK5","5","59:64","Dict(\"NO\"=>59:64)",4,NA,NA,NA,NA,NA,"2016-06-18 Sat"
"*** SS04448  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","SS04448","attP5","VK5","6","6:11",NA,1,NA,NA,NA,NA,":Problematic:","2016-06-19 Sun"
"*** SS04448  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","SS04448","attP5","VK5","6","15:20",NA,2,NA,NA,NA,NA,":Problematic:","2016-06-19 Sun"
"*** 76E11L  CsChrimson  - 76E11 GCamp6m","Female","LexA","Gal4","76E11","76E11","attP1","VK5","6","25:30","Dict(\"LAL\"=>25:30)",3,NA,NA,NA,NA,NA,"2016-06-19 Sun"
"*** 60D05L  CsChrimson  - 76E11 GCamp6m","Male","LexA","Gal4","60D05","76E11","attP1","VK5","6","42:47","Dict(\"NO\"=>42:47)",4,NA,NA,NA,NA,NA,"2016-06-19 Sun"
"*** SS04448  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","SS04448","attP5","VK5","7","2:7",NA,1,NA,NA,NA,NA,":Problematic:","2016-06-20 Mon"
"*** SS04448  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","SS04448","attP5","VK5","7","9:14",NA,2,NA,NA,NA,NA,":Problematic:","2016-06-20 Mon"
"*** 75H04  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","75H04","attP5","VK5","7","17:22","Dict(\"EB\"=>17:22)",3,NA,NA,NA,NA,":Problematic:","2016-06-20 Mon"
"*** 75H04  CsChrimson  - 37F06L GCamp6m","Male","Gal4","LexA","37F06","75H04","attP5","VK5","7","24:29","Dict(\"EB\"=>24:29)",4,NA,NA,NA,NA,":Problematic:","2016-06-20 Mon"
"*** 75H04  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","75H04","attP5","VK5","7","31:36","Dict(\"EB\"=>31:36)",5,NA,NA,NA,NA,":Problematic:","2016-06-20 Mon"
"*** 75H04  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","75H04","attP5","VK5","7","41:46","Dict(\"EB\"=>41:46)",6,NA,NA,NA,NA,":Problematic:","2016-06-20 Mon"
"*** 37F06L  CsChrimson  - 37F06 GCamp6m","Female","LexA","Gal4","37F06","37F06","attP1","VK5","7","50:55",NA,7,NA,NA,NA,NA,":Problematic:","2016-06-17 Fri"
"*** SS04448  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","SS04448","attP5","VK5","7","2:7",NA,1,NA,NA,NA,NA,":Problematic:","2016-06-21 Tue"
"*** SS04448  CsChrimson  - 37F06L GCamp6m","Male","Gal4","LexA","37F06","SS04448","attP5","VK5","7","9:14",NA,2,NA,NA,NA,NA,":Problematic:","2016-06-21 Tue"
"*** 37F06L  CsChrimson  - 37F06 GCamp6m","Female","LexA","Gal4","37F06","37F06","attP1","VK5","7","21:26","Dict(\"EB\"=>21:26)",3,NA,NA,NA,NA,NA,"2016-06-21 Tue"
"*** 72H06  CsChrimson  - 76E11L GCamp6m","Male","Gal4","LexA","76E11","72H06","attP1","VK5","5","32:37",NA,4,NA,NA,NA,NA,":Problematic:","2016-06-21 Tue"
"*** 37F06L  CsChrimson  - 37F06 GCamp6m","Male","LexA","Gal4","37F06","37F06","attP1","VK5","7","40:45","Dict(\"EB\"=>40:45)",5,NA,NA,NA,NA,NA,"2016-06-21 Tue"
"*** 84H05L  CsChrimson  - 84H05 GCamp6m","Male","LexA","Gal4","84H05","84H05","attP1","VK5","5","7:12","Dict(\"LAL\"=>7:12)",1,NA,NA,NA,NA,NA,"2016-06-22 Wed"
"*** 84H05L  CsChrimson  - 84H05 GCamp6m","Female","LexA","Gal4","84H05","84H05","attP1","VK5","5","25:30","Dict(\"LAL\"=>25:30)",2,NA,NA,NA,NA,NA,"2016-06-22 Wed"
"*** 84H05L  CsChrimson  - 84H05 GCamp6m","Female","LexA","Gal4","84H05","84H05","attP1","VK5","5","36:41","Dict(\"LAL\"=>36:41)",3,NA,NA,NA,NA,NA,"2016-06-22 Wed"
"*** 37F06L  CsChrimson  - 37F06 GCamp6m","Male","LexA","Gal4","37F06","37F06","attP1","VK5","5","42:47","Dict(\"EB\"=>42:47)",4,NA,NA,NA,NA,NA,"2016-06-22 Wed"
"*** 26B07  CsChrimson  - 76E11L GCamp6m",NA,"Gal4","LexA","76E11","26B07","attP1","VK5","5",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-06-22 Wed"
"*** 76E11L  CsChrimson  - 75H04 GCamp6m","Female","LexA","Gal4","76E11","75H04","attP1","VK5","6","3:8","Dict(\"EB\"=>3:8)",1,NA,NA,NA,NA,NA,"2016-06-23 Thu"
"*** 76E11L  CsChrimson  - 75H04 GCamp6m","Female","LexA","Gal4","76E11","75H04","attP1","VK5","6","12:17","Dict(\"EB\"=>12:17)",2,NA,NA,NA,NA,NA,"2016-06-23 Thu"
"*** 76E11L  CsChrimson  - 75H04 GCamp6m","Female","LexA","Gal4","76E11","75H04","attP1","VK5","6","20:25","Dict(\"EB\"=>20:25)",3,NA,NA,NA,NA,NA,"2016-06-23 Thu"
"*** 72H06  CsChrimson  - 76E11L GCamp6m","Female","Gal4","LexA","76E11","72H06","attP1","VK5","6","26:31","Dict(\"NO\"=>26:31)",4,NA,NA,NA,NA,NA,"2016-06-23 Thu"
"*** 72H06  CsChrimson  - 76E11L GCamp6m","Male","Gal4","LexA","76E11","72H06","attP1","VK5","6","33:38","Dict(\"LAL\"=>33:38)",5,NA,NA,NA,NA,NA,"2016-06-23 Thu"
"*** 72H06  CsChrimson  - 76E11L GCamp6m","Female","Gal4","LexA","76E11","72H06","attP1","VK5","6","43:48","Dict(\"NO\"=>43:48)",6,NA,NA,NA,NA,NA,"2016-06-23 Thu"
"*** 49H05  CsChrimson  - 84H05L GCamp6m","Female","Gal4","LexA","84H05","49H05","attP1","VK5","6","50:55","Dict(\"FB-in\"=>50:55)",7,NA,NA,NA,NA,NA,"2016-06-23 Thu"
"*** 49H05  CsChrimson  - 84H05L GCamp6m","Female","Gal4","LexA","84H05","49H05","attP1","VK5","6","62:67","Dict(\"FB-in\"=>62:67)",8,NA,NA,NA,NA,NA,"2016-06-23 Thu"
"*** 49H05  CsChrimson  - 84H05L GCamp6m","Female","Gal4","LexA","84H05","49H05","attP1","VK5","6","68:73",NA,9,NA,NA,NA,NA,":Problematic:","2016-06-23 Thu"
"*** 72H06  CsChrimson  - 76E11L GCamp6m","Female","Gal4","LexA","76E11","72H06","attP1","VK5","7","9:14","Dict(\"LAL\"=>9:14)",1,NA,NA,NA,NA,NA,"2016-06-24 Fri"
"*** 72H06  CsChrimson  - 76E11L GCamp6m","Female","Gal4","LexA","76E11","72H06","attP1","VK5","7","15:20","Dict(\"NO\"=>15:20)",2,NA,NA,NA,NA,NA,"2016-06-24 Fri"
"*** 49H05  CsChrimson  - 84H05L GCamp6m","Female","Gal4","LexA","84H05","49H05","attP1","VK5","4","21:26","Dict(\"FB-in\"=>21:26)",3,NA,NA,NA,NA,NA,"2016-06-24 Fri"
"*** 49H05  CsChrimson  - 84H05L GCamp6m","Male","Gal4","LexA","84H05","49H05","attP1","VK5","4","27:32","Dict(\"FB-in\"=>27:32)",4,NA,NA,NA,NA,NA,"2016-06-24 Fri"
"*** 60D05  CsChrimson  - 12C11L GCamp6m","Female","Gal4","LexA","12C11","60D05","attP1","VK5","3","8:13","Dict(\"EB-in\"=>8:13)",2,NA,NA,NA,NA,NA,"2016-06-26 Sun"
"*** 84H05L  CsChrimson  - 84H05 GCamp6m","Male","LexA","Gal4","84H05","84H05","attP1","VK5","5","15:20","Dict(\"LAL\"=>15:20)",3,NA,NA,NA,NA,NA,"2016-06-26 Sun"
"*** 84H05L  CsChrimson  - 84H05 GCamp6m","Female","LexA","Gal4","84H05","84H05","attP1","VK5","5","27:32","Dict(\"LAL\"=>27:32)",4,NA,NA,NA,NA,NA,"2016-06-26 Sun"
"*** 84H05L  CsChrimson  - 84H05 GCamp6m","Female","LexA","Gal4","84H05","84H05","attP1","VK5","4","7:12","Dict(\"LAL\"=>7:12)",1,NA,NA,NA,NA,NA,"2016-06-27 Mon"
"*** 60D05  CsChrimson  - 12C11L GCamp6m","Female","Gal4","LexA","12C11","60D05","attP1","VK5","4","21:26","Dict(\"EB-in\"=>21:26)",2,NA,NA,NA,NA,NA,"2016-06-27 Mon"
"*** 60D05  CsChrimson  - 12C11L GCamp6m","Female","Gal4","LexA","12C11","60D05","attP1","VK5","4","27:32","Dict(\"EB\"=>27:32)",3,NA,NA,NA,NA,NA,"2016-06-27 Mon"
"*** 60D05L  CsChrimson  - 87G07 GCamp6m","Female","LexA","Gal4","60D05","87G07","attP1","VK5","4","37:42","Dict(\"FB\"=>37:42)",4,NA,NA,NA,NA,NA,"2016-06-27 Mon"
"*** 60D05  CsChrimson  - 12C11L GCamp6m","Female","Gal4","LexA","12C11","60D05","attP1","VK5","5","1:6","Dict(\"BU\"=>1:6)",NA,NA,NA,NA,NA,NA,"2016-06-28 Tue"
"*** 17H12  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","17H12","attP5","VK5","5","7:12",NA,2,NA,NA,NA,NA,":Problematic:","2016-06-28 Tue"
"*** 17H12  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","17H12","attP5","VK5","5","13:18","Dict(\"NO\"=>13:18)",3,NA,NA,NA,NA,":Problematic:","2016-06-28 Tue"
"*** 17H12  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","17H12","attP5","VK5","5","25:30","Dict(\"EB\"=>25:30)",4,NA,NA,NA,NA,":Problematic:","2016-06-28 Tue"
"*** 55G08  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","55G08","attP5","VK5","5",NA,NA,5,NA,NA,NA,NA,":Problematic:","2016-06-28 Tue"
"*** 60D05  CsChrimson  - 12C11L GCamp6m","Female","Gal4","LexA","12C11","60D05","attP1","VK5","5","31:36","Dict(\"EB-in\"=>31:36)",6,NA,NA,NA,NA,NA,"2016-06-28 Tue"
"*** 60D05  CsChrimson  - 12C11L GCamp6m","Male","Gal4","LexA","12C11","60D05","attP1","VK5","5","1:12","Dict(\"EB\"=>1:6,\"EB-in\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-06-29 Wed"
"*** 17H12  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","17H12","attP5","VK5","6","13:18",NA,3,NA,NA,NA,NA,":Problematic:","2016-06-29 Wed"
"*** 17H12  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","17H12","attP5","VK5","6","19:24",NA,4,NA,NA,NA,NA,":Problematic:","2016-06-29 Wed"
"*** 17H12  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","17H12","attP5","VK5","6","25:30",NA,5,NA,NA,NA,NA,":Problematic:","2016-06-29 Wed"
"*** 60D05L  CsChrimson  - 87G07 GCamp6m","Female","LexA","Gal4","60D05","87G07","attP1","VK5","5","[32:37;45:50]","Dict(\"FB\"=>32:37,\"NO\"=>45:50)",6,NA,NA,NA,NA,NA,"2016-06-29 Wed"
"*** 60D05L  CsChrimson  - 87G07 GCamp6m","Female","LexA","Gal4","60D05","87G07","attP1","VK5","5","51:62","Dict(\"FB\"=>51:56,\"NO\"=>57:62)",7,NA,NA,NA,NA,NA,"2016-06-29 Wed"
"*** 55G08  CsChrimson  - 37F06L GCamp6m","Male","Gal4","LexA","37F06","55G08","attP5","VK5","5","65:70",NA,8,NA,NA,NA,NA,":Problematic:","2016-06-29 Wed"
"*** 55G08  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","55G08","attP5","VK5","6","1:6",NA,1,NA,NA,NA,NA,":Problematic:","2016-06-30 Thu"
"*** 55G08  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","55G08","attP5","VK5","6","13:18",NA,2,NA,NA,NA,NA,":Problematic:","2016-06-30 Thu"
"*** 55G08  CsChrimson  - 37F06L GCamp6m","Male","Gal4","LexA","37F06","55G08","attP5","VK5","6","19:24",NA,3,NA,NA,NA,NA,":Problematic:","2016-06-30 Thu"
"*** 55G08  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","55G08","attP5","VK5","3","25:30",NA,4,NA,NA,NA,NA,":Problematic:","2016-06-30 Thu"
"*** 76E11L  CsChrimson  - 32A11 GCamp6m","Female","LexA","Gal4","76E11","32A11","attP1","VK5","6","2:7","Dict(\"EB\"=>2:7)",3,NA,NA,NA,NA,NA,"2016-07-05 Tue"
"*** 76E11L  CsChrimson  - 32A11 GCamp6m","Female","LexA","Gal4","76E11","32A11","attP1","VK5","6","11:22","Dict(\"EB\"=>11:16,\"EB-in\"=>17:22)",4,NA,NA,NA,NA,NA,"2016-07-05 Tue"
"*** 60D05  CsChrimson  - 60D05L GCamp6m","Female","Gal4","LexA","60D05","60D05","attP1","VK5","6","26:31","Dict(\"Gall\"=>26:31)",5,NA,NA,NA,NA,NA,"2016-07-05 Tue"
"*** 60D05  CsChrimson  - 60D05L GCamp6m","Female","Gal4","LexA","60D05","60D05","attP1","VK5","6","33:38","Dict(\"Gall\"=>33:38)",6,NA,NA,NA,NA,NA,"2016-07-05 Tue"
"*** 60D05  CsChrimson  - 60D05L GCamp6m","Female","Gal4","LexA","60D05","60D05","attP1","VK5","6","[49:51;53:55]","Dict(\"PB\"=>[49:51;53:55])",8,NA,NA,NA,NA,NA,"2016-07-05 Tue"
"*** 76E11L  CsChrimson  - 85H06 GCamp6m","Female","LexA","Gal4","76E11","85H06","attP1","VK5","6","[57:60;63:64]","Dict(\"FB\"=>[57:60;63:64])",9,NA,NA,NA,NA,NA,"2016-07-05 Tue"
"*** 76E11L  CsChrimson  - 32A11 GCamp6m","Female","LexA","Gal4","76E11","32A11","attP1","VK5","7","1:6","Dict(\"EB\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-07-06 Wed"
"*** 76E11L  CsChrimson  - 32A11 GCamp6m","Female","LexA","Gal4","76E11","32A11","attP1","VK5","7","8:13","Dict(\"EB\"=>8:13)",2,NA,NA,NA,NA,NA,"2016-07-06 Wed"
"*** 60D05  CsChrimson  - 60D05L GCamp6m","Male","Gal4","LexA","60D05","60D05","attP1","VK5","7","[24:29;32]","Dict(\"Gall\"=>[24:29;32])",3,NA,NA,NA,NA,NA,"2016-07-06 Wed"
"*** 60D05  CsChrimson  - 60D05L GCamp6m","Female","Gal4","LexA","60D05","60D05","attP1","VK5","7","45:50","Dict(\"PB\"=>45:50)",4,NA,NA,NA,NA,NA,"2016-07-06 Wed"
"*** 76E11L  CsChrimson  - 85H06 GCamp6m","Female","LexA","Gal4","76E11","85H06","attP1","VK5","7","55:60","Dict(\"FB\"=>55:60)",5,NA,NA,NA,NA,NA,"2016-07-06 Wed"
"*** 76E11L  CsChrimson  - 85H06 GCamp6m","Male","LexA","Gal4","76E11","85H06","attP1","VK5","7","61:66","Dict(\"FB\"=>61:66)",6,NA,NA,NA,NA,NA,"2016-07-06 Wed"
"*** 76E11L  CsChrimson  - 85H06 GCamp6m","Male","LexA","Gal4","76E11","85H06","attP1","VK5","7","[74:76;78:80]","Dict(\"FB\"=>[74:76;78:80])",7,NA,NA,NA,NA,NA,"2016-07-06 Wed"
"*** 55G08  CsChrimson  - 84H05L GCamp6m","Female","Gal4","LexA","84H05","55G08","attP1","VK5","7","88:93","Dict(\"LAL\"=>88:93)",8,NA,NA,NA,NA,NA,"2016-07-06 Wed"
"*** 55G08  CsChrimson  - 84H05L GCamp6m","Male","Gal4","LexA","84H05","55G08","attP1","VK5","7","3:8","Dict(\"LAL\"=>3:8)",1,NA,NA,NA,NA,NA,"2016-07-07 Thu"
"*** 55G08  CsChrimson  - 84H05L GCamp6m","Female","Gal4","LexA","84H05","55G08","attP1","VK5","7","16:21","Dict(\"FB\"=>16:21)",3,NA,NA,NA,NA,NA,"2016-07-07 Thu"
"*** 76E11L  CsChrimson  - 32A11 GCamp6m","Female","LexA","Gal4","76E11","32A11","attP1","VK5","7","22:27","Dict(\"EB\"=>22:27)",4,NA,NA,NA,NA,NA,"2016-07-07 Thu"
"*** 76E11L  CsChrimson  - 32A11 GCamp6m","Male","LexA","Gal4","76E11","32A11","attP1","VK5","7","34:39","Dict(\"EB\"=>34:39)",5,NA,NA,NA,NA,NA,"2016-07-07 Thu"
